Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",7818,"(+/- 1569 )",8154,"(+/- 1212 )",2385,"(+/- 720 )",1758,"(+/- 539 )",3395,"(+/- 923 )",1708,"(+/- 567 )",2108,"(+/- 718 )",1706,"(+/- 535 )",1194,"(+/- 430 )",3069,"(+/- 709 )",4340,"(+/- 650 )",13228,"(+/- 1434 )",1027,"(+/- 426 )",8029,"(+/- 1221 )",5614,"(+/- 776 )",3692,"(+/- 673 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1363,"(+/- 29 )",1283,"(+/- 28 )",1185,"(+/- 23 )",1077,"(+/- 22 )",1166,"(+/- 20 )",984,"(+/- 21 )",1126,"(+/- 25 )",1200,"(+/- 24 )",1070,"(+/- 20 )",1206,"(+/- 18 )",1152,"(+/- 25 )",1522,"(+/- 39 )",999,"(+/- 19 )",1395,"(+/- 27 )",1391,"(+/- 26 )",1325,"(+/- 25 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",53752,"(+/- 2626 )",71079,"(+/- 3178 )",38614,"(+/- 3412 )",77996,"(+/- 2921 )",79103,"(+/- 3179 )",101109,"(+/- 3929 )",79342,"(+/- 3614 )",65757,"(+/- 2822 )",67482,"(+/- 3150 )",70300,"(+/- 3034 )",63913,"(+/- 3656 )",62245,"(+/- 2915 )",82774,"(+/- 3810 )",80062,"(+/- 3367 )",69104,"(+/- 3307 )",80213,"(+/- 3559 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1566,"(+/- 608 )",6556,"(+/- 1336 )",3397,"(+/- 757 )",10689,"(+/- 1304 )",7458,"(+/- 1204 )",19455,"(+/- 1986 )",9025,"(+/- 1137 )",6260,"(+/- 979 )",7789,"(+/- 1188 )",5201,"(+/- 1009 )",7962,"(+/- 1209 )",5640,"(+/- 1048 )",12024,"(+/- 1566 )",4952,"(+/- 1015 )",7407,"(+/- 1184 )",3762,"(+/- 818 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",10987,"(+/- 1314 )",17711,"(+/- 2021 )",11856,"(+/- 1727 )",27703,"(+/- 2162 )",26033,"(+/- 1978 )",38845,"(+/- 3022 )",26633,"(+/- 1896 )",21720,"(+/- 1969 )",23354,"(+/- 2043 )",20189,"(+/- 1927 )",17149,"(+/- 1594 )",14882,"(+/- 1572 )",29556,"(+/- 2575 )",16613,"(+/- 1665 )",19315,"(+/- 1861 )",16016,"(+/- 1592 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",18453,"(+/- 1976 )",25330,"(+/- 2249 )",14417,"(+/- 2052 )",26063,"(+/- 1833 )",27357,"(+/- 2212 )",30327,"(+/- 2326 )",30508,"(+/- 2221 )",23576,"(+/- 1792 )",24539,"(+/- 2056 )",25376,"(+/- 2053 )",19651,"(+/- 1874 )",15659,"(+/- 1707 )",28087,"(+/- 2286 )",28211,"(+/- 2310 )",23406,"(+/- 1929 )",33925,"(+/- 2245 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",13422,"(+/- 1725 )",12738,"(+/- 1695 )",5953,"(+/- 1155 )",9536,"(+/- 1301 )",10629,"(+/- 1291 )",9212,"(+/- 1571 )",8978,"(+/- 1374 )",9375,"(+/- 1369 )",7123,"(+/- 1040 )",11212,"(+/- 1629 )",9124,"(+/- 1525 )",12122,"(+/- 1239 )",9429,"(+/- 1338 )",16968,"(+/- 2023 )",10406,"(+/- 1546 )",17100,"(+/- 1840 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5148,"(+/- 1143 )",4825,"(+/- 1335 )",1533,"(+/- 690 )",2252,"(+/- 639 )",4045,"(+/- 889 )",2124,"(+/- 692 )",2949,"(+/- 762 )",2519,"(+/- 658 )",2800,"(+/- 693 )",4755,"(+/- 952 )",3736,"(+/- 918 )",6807,"(+/- 1097 )",2828,"(+/- 737 )",6767,"(+/- 1168 )",4867,"(+/- 1033 )",5962,"(+/- 1041 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4176,"(+/- 919 )",3919,"(+/- 747 )",1458,"(+/- 457 )",1753,"(+/- 489 )",3581,"(+/- 720 )",1146,"(+/- 440 )",1249,"(+/- 464 )",2307,"(+/- 711 )",1877,"(+/- 573 )",3567,"(+/- 764 )",6291,"(+/- 1041 )",7135,"(+/- 1243 )",850,"(+/- 314 )",6551,"(+/- 1178 )",3703,"(+/- 842 )",3448,"(+/- 847 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",550,"(+/- 20 )",482,"(+/- 15 )",456,"(+/- 19 )",404,"(+/- 10 )",438,"(+/- 11 )",374,"(+/- 8 )",421,"(+/- 9 )",434,"(+/- 12 )",418,"(+/- 12 )",468,"(+/- 12 )",457,"(+/- 13 )",530,"(+/- 21 )",399,"(+/- 10 )",530,"(+/- 12 )",463,"(+/- 15 )",521,"(+/- 10 )"
Housing,"Gross Rent","Occupied units paying rent",112367,"(+/- 3980 )",92696,"(+/- 3955 )",163523,"(+/- 5703 )",78756,"(+/- 3532 )",77053,"(+/- 3513 )",59002,"(+/- 3228 )",70918,"(+/- 4052 )",79850,"(+/- 4011 )",124098,"(+/- 4846 )",110340,"(+/- 4372 )",150837,"(+/- 4515 )",77627,"(+/- 4424 )",102693,"(+/- 4520 )",63702,"(+/- 3788 )",84898,"(+/- 4280 )",68241,"(+/- 3492 )"
Housing,"Gross Rent","Less than $500",19272,"(+/- 2358 )",12558,"(+/- 1435 )",15148,"(+/- 2205 )",14617,"(+/- 1753 )",11249,"(+/- 1735 )",15322,"(+/- 1906 )",14697,"(+/- 1922 )",11946,"(+/- 1755 )",22377,"(+/- 2375 )",17365,"(+/- 2197 )",28181,"(+/- 2430 )",9031,"(+/- 1433 )",15761,"(+/- 1857 )",6613,"(+/- 1169 )",9037,"(+/- 1554 )",5991,"(+/- 1250 )"
Housing,"Gross Rent","$500 to $999",58808,"(+/- 3222 )",56345,"(+/- 3704 )",96728,"(+/- 4913 )",54759,"(+/- 3717 )",52687,"(+/- 3160 )",36770,"(+/- 2741 )",46737,"(+/- 3202 )",53268,"(+/- 4191 )",81042,"(+/- 4662 )",69004,"(+/- 4001 )",88523,"(+/- 3993 )",35768,"(+/- 3160 )",73973,"(+/- 4483 )",35726,"(+/- 2649 )",42363,"(+/- 3411 )",43676,"(+/- 3285 )"
Housing,"Gross Rent","$1,000 to $1,499",27713,"(+/- 2749 )",18364,"(+/- 1798 )",44011,"(+/- 3792 )",7856,"(+/- 1241 )",9783,"(+/- 1521 )",6470,"(+/- 1263 )",7482,"(+/- 1500 )",11073,"(+/- 1548 )",18942,"(+/- 2527 )",19042,"(+/- 2397 )",26518,"(+/- 2433 )",25783,"(+/- 3337 )",11654,"(+/- 1815 )",16321,"(+/- 2294 )",26770,"(+/- 2410 )",14838,"(+/- 1864 )"
Housing,"Gross Rent","$1,500 to $1,999",4113,"(+/- 1030 )",3544,"(+/- 879 )",6118,"(+/- 1420 )",1060,"(+/- 613 )",2105,"(+/- 876 )",371,"(+/- 277 )",1050,"(+/- 380 )",2640,"(+/- 888 )",1509,"(+/- 738 )",3536,"(+/- 818 )",5069,"(+/- 1001 )",5092,"(+/- 1237 )",878,"(+/- 540 )",2697,"(+/- 861 )",4151,"(+/- 1061 )",2329,"(+/- 766 )"
Housing,"Gross Rent","$2,000 to $2,499",1317,"(+/- 449 )",992,"(+/- 552 )",1212,"(+/- 581 )",148,"(+/- 99 )",954,"(+/- 584 )",40,"(+/- 65 )",470,"(+/- 368 )",437,"(+/- 249 )",140,"(+/- 133 )",901,"(+/- 451 )",1047,"(+/- 424 )",1191,"(+/- 560 )",404,"(+/- 557 )",987,"(+/- 413 )",1701,"(+/- 610 )",930,"(+/- 547 )"
Housing,"Gross Rent","$2,500 to $2,999",499,"(+/- 287 )",518,"(+/- 332 )",234,"(+/- 165 )",6,"(+/- 11 )",95,"(+/- 113 )",29,"(+/- 48 )",0,"(+/- 193 )",343,"(+/- 381 )",68,"(+/- 110 )",492,"(+/- 358 )",394,"(+/- 236 )",426,"(+/- 231 )",0,"(+/- 193 )",613,"(+/- 354 )",215,"(+/- 218 )",191,"(+/- 233 )"
Housing,"Gross Rent","$3,000 or more",645,"(+/- 354 )",375,"(+/- 295 )",72,"(+/- 61 )",310,"(+/- 310 )",180,"(+/- 261 )",0,"(+/- 193 )",482,"(+/- 285 )",143,"(+/- 162 )",20,"(+/- 32 )",0,"(+/- 193 )",1105,"(+/- 601 )",336,"(+/- 239 )",23,"(+/- 56 )",745,"(+/- 471 )",661,"(+/- 460 )",286,"(+/- 251 )"
Housing,"Gross Rent","Median (dollars)",774,"(+/- 19 )",771,"(+/- 18 )",864,"(+/- 14 )",692,"(+/- 14 )",712,"(+/- 17 )",636,"(+/- 16 )",694,"(+/- 20 )",755,"(+/- 21 )",718,"(+/- 18 )",761,"(+/- 21 )",756,"(+/- 16 )",928,"(+/- 28 )",721,"(+/- 16 )",851,"(+/- 24 )",907,"(+/- 25 )",832,"(+/- 16 )"
Housing,"Gross Rent","No rent paid",3687,"(+/- 993 )",5660,"(+/- 1452 )",2952,"(+/- 823 )",5185,"(+/- 942 )",4414,"(+/- 886 )",9384,"(+/- 1339 )",6025,"(+/- 1203 )",4806,"(+/- 1231 )",5744,"(+/- 1211 )",5230,"(+/- 1553 )",6756,"(+/- 1176 )",2988,"(+/- 951 )",6872,"(+/- 1238 )",3712,"(+/- 992 )",4142,"(+/- 866 )",2853,"(+/- 853 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",296321,"(+/- 3981 )",297390,"(+/- 4600 )",304414,"(+/- 4588 )",280785,"(+/- 3071 )",287898,"(+/- 3284 )",272868,"(+/- 4111 )",281886,"(+/- 4037 )",276346,"(+/- 3650 )",303638,"(+/- 5698 )",299196,"(+/- 3397 )",302266,"(+/- 4603 )",293574,"(+/- 4512 )",304871,"(+/- 4717 )",287281,"(+/- 4073 )",290515,"(+/- 4758 )",287943,"(+/- 4671 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Less than $10,000",23303,"(+/- 2475 )",17200,"(+/- 2121 )",26578,"(+/- 2793 )",19641,"(+/- 2240 )",14540,"(+/- 1886 )",21179,"(+/- 1903 )",14511,"(+/- 1734 )",16709,"(+/- 1892 )",31211,"(+/- 2979 )",23076,"(+/- 2358 )",46233,"(+/- 2799 )",13164,"(+/- 1877 )",25994,"(+/- 2816 )",12960,"(+/- 2023 )",14384,"(+/- 1848 )",11045,"(+/- 1719 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$10,000 to $14,999",14912,"(+/- 1950 )",13364,"(+/- 1817 )",17363,"(+/- 2165 )",13803,"(+/- 1613 )",9898,"(+/- 1449 )",15401,"(+/- 1820 )",14999,"(+/- 2106 )",11778,"(+/- 1500 )",18704,"(+/- 2028 )",14962,"(+/- 1771 )",25025,"(+/- 2371 )",9998,"(+/- 1455 )",17597,"(+/- 1879 )",10662,"(+/- 1613 )",10031,"(+/- 1252 )",8979,"(+/- 1458 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$15,000 to $24,999",27152,"(+/- 2579 )",29136,"(+/- 2239 )",34831,"(+/- 3064 )",29360,"(+/- 2284 )",26338,"(+/- 2545 )",32500,"(+/- 2677 )",27619,"(+/- 2726 )",24180,"(+/- 2096 )",37698,"(+/- 2893 )",33630,"(+/- 3051 )",40294,"(+/- 2664 )",22550,"(+/- 2532 )",38895,"(+/- 3037 )",23653,"(+/- 2386 )",25602,"(+/- 2408 )",22996,"(+/- 2545 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$25,000 to $34,999",27669,"(+/- 2908 )",29837,"(+/- 3212 )",36789,"(+/- 3256 )",28595,"(+/- 2180 )",29833,"(+/- 2580 )",31801,"(+/- 2675 )",32540,"(+/- 2965 )",25421,"(+/- 2533 )",37306,"(+/- 3139 )",31256,"(+/- 2500 )",36506,"(+/- 2694 )",22388,"(+/- 2094 )",36730,"(+/- 2950 )",22938,"(+/- 1901 )",24713,"(+/- 2450 )",25626,"(+/- 2159 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$35,000 to $49,999",34913,"(+/- 2859 )",40073,"(+/- 3523 )",44479,"(+/- 3226 )",41097,"(+/- 2928 )",45359,"(+/- 2829 )",42627,"(+/- 3035 )",42139,"(+/- 3017 )",38023,"(+/- 2499 )",43353,"(+/- 3186 )",43098,"(+/- 2651 )",40379,"(+/- 2698 )",34102,"(+/- 3107 )",48433,"(+/- 2927 )",36154,"(+/- 2775 )",32548,"(+/- 2327 )",37508,"(+/- 2968 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$50,000 to $74,999",50555,"(+/- 3333 )",54573,"(+/- 3662 )",60687,"(+/- 4863 )",56048,"(+/- 2778 )",57007,"(+/- 3252 )",50537,"(+/- 3168 )",54396,"(+/- 3354 )",54970,"(+/- 3182 )",54789,"(+/- 3274 )",53692,"(+/- 2876 )",43036,"(+/- 3214 )",50534,"(+/- 3769 )",58678,"(+/- 3767 )",50910,"(+/- 3073 )",56459,"(+/- 3427 )",55183,"(+/- 3259 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$75,000 to $99,999",36292,"(+/- 2461 )",37291,"(+/- 3059 )",38775,"(+/- 3885 )",40254,"(+/- 2303 )",36786,"(+/- 2443 )",36363,"(+/- 2648 )",38851,"(+/- 2480 )",39385,"(+/- 2974 )",33594,"(+/- 3082 )",35168,"(+/- 2570 )",26947,"(+/- 2241 )",37985,"(+/- 2835 )",32745,"(+/- 2629 )",40755,"(+/- 3004 )",41443,"(+/- 3276 )",43117,"(+/- 2917 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$100,000 to $149,999",41085,"(+/- 3201 )",42176,"(+/- 3343 )",31367,"(+/- 3093 )",34634,"(+/- 2376 )",43115,"(+/- 2453 )",29064,"(+/- 2344 )",36490,"(+/- 2441 )",42933,"(+/- 3425 )",30043,"(+/- 2747 )",39333,"(+/- 2915 )",23837,"(+/- 2167 )",53572,"(+/- 3239 )",31134,"(+/- 1960 )",48202,"(+/- 3151 )",50472,"(+/- 3340 )",48890,"(+/- 2258 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$150,000 to $199,000",19822,"(+/- 2288 )",18405,"(+/- 1918 )",7232,"(+/- 1301 )",9672,"(+/- 1299 )",12763,"(+/- 1725 )",7894,"(+/- 1249 )",12616,"(+/- 1974 )",13058,"(+/- 1478 )",9394,"(+/- 1463 )",14084,"(+/- 1625 )",7955,"(+/- 1105 )",23458,"(+/- 2326 )",7567,"(+/- 1328 )",19727,"(+/- 2266 )",18943,"(+/- 1769 )",19235,"(+/- 1976 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","$200,000 or more",20618,"(+/- 2482 )",15335,"(+/- 1501 )",6313,"(+/- 1391 )",7681,"(+/- 1327 )",12259,"(+/- 1408 )",5502,"(+/- 977 )",7725,"(+/- 1268 )",9889,"(+/- 1445 )",7546,"(+/- 1079 )",10897,"(+/- 1466 )",12054,"(+/- 1297 )",25823,"(+/- 2062 )",7098,"(+/- 1085 )",21320,"(+/- 2055 )",15920,"(+/- 1712 )",15364,"(+/- 1284 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Median household income (dollars)",59719,"(+/- 2134 )",57083,"(+/- 1811 )",47123,"(+/- 1694 )",52370,"(+/- 1232 )",56835,"(+/- 1626 )",47067,"(+/- 1535 )",54045,"(+/- 1565 )",58295,"(+/- 1406 )",43182,"(+/- 1512 )",51208,"(+/- 1185 )",35954,"(+/- 1045 )",71853,"(+/- 1927 )",45177,"(+/- 1304 )",67163,"(+/- 2014 )",66694,"(+/- 1660 )",66504,"(+/- 1642 )"
Socioeconomic,"Income and Benefits (In 2017 inflation-adjusted dollars)","Mean household income (dollars)",82668,"(+/- 2641 )",79686,"(+/- 1878 )",60137,"(+/- 1974 )",66761,"(+/- 1788 )",75519,"(+/- 1858 )",62605,"(+/- 1869 )",67730,"(+/- 1575 )",73971,"(+/- 1867 )",58842,"(+/- 1483 )",69484,"(+/- 1686 )",59699,"(+/- 2028 )",96901,"(+/- 2679 )",59463,"(+/- 1434 )",92336,"(+/- 2977 )",83607,"(+/- 2234 )",85368,"(+/- 2143 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",728725,"(+/- 8798 )",720955,"(+/- 10196 )",777489,"(+/- 10059 )",689580,"(+/- 5993 )",709852,"(+/- 6000 )",679328,"(+/- 7067 )",717702,"(+/- 7623 )",722828,"(+/- 2076 )",714004,"(+/- 12248 )",708654,"(+/- 2522 )",664639,"(+/- 13186 )",769620,"(+/- 9228 )",706272,"(+/- 11415 )",716414,"(+/- 8141 )",750953,"(+/- 9863 )",708063,"(+/- 9057 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",690477,"(+/- 9533 )",684090,"(+/- 11472 )",707412,"(+/- 10793 )",650875,"(+/- 6563 )",680501,"(+/- 7277 )",636814,"(+/- 8024 )",653989,"(+/- 9215 )",685432,"(+/- 4765 )",668551,"(+/- 11974 )",668014,"(+/- 4966 )",627737,"(+/- 12914 )",722860,"(+/- 9756 )",663943,"(+/- 10888 )",680681,"(+/- 8333 )",711956,"(+/- 9917 )",665732,"(+/- 9122 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",510545,"(+/- 9082 )",505720,"(+/- 13377 )",463035,"(+/- 11023 )",494472,"(+/- 9074 )",552287,"(+/- 10457 )",442519,"(+/- 10607 )",490739,"(+/- 10953 )",526103,"(+/- 8766 )",429015,"(+/- 12723 )",473299,"(+/- 8656 )",368566,"(+/- 10221 )",588787,"(+/- 12865 )",433297,"(+/- 11029 )",545705,"(+/- 9878 )",553990,"(+/- 9700 )",555933,"(+/- 9953 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",252020,"(+/- 9836 )",265688,"(+/- 9494 )",307242,"(+/- 11749 )",255410,"(+/- 7219 )",230850,"(+/- 8762 )",297804,"(+/- 9661 )",266811,"(+/- 8709 )",249182,"(+/- 6884 )",328874,"(+/- 11034 )",281872,"(+/- 7919 )",334626,"(+/- 9292 )",221912,"(+/- 8842 )",320375,"(+/- 10758 )",237646,"(+/- 8836 )",249903,"(+/- 9097 )",215534,"(+/- 8847 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",38248,"(+/- 4685 )",36865,"(+/- 4708 )",70077,"(+/- 6430 )",38705,"(+/- 4269 )",29351,"(+/- 3698 )",42514,"(+/- 4207 )",63713,"(+/- 6583 )",37396,"(+/- 4564 )",45453,"(+/- 5323 )",40640,"(+/- 4674 )",36902,"(+/- 3963 )",46760,"(+/- 8249 )",42329,"(+/- 4890 )",35733,"(+/- 4997 )",38997,"(+/- 5181 )",42331,"(+/- 4866 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",191061,"(+/- 4281 )",169619,"(+/- 4913 )",200773,"(+/- 5111 )",168804,"(+/- 3428 )",174753,"(+/- 3360 )",150601,"(+/- 3490 )",176883,"(+/- 4532 )",181791,"(+/- 1737 )",168950,"(+/- 6690 )",166735,"(+/- 1489 )",152265,"(+/- 7812 )",195548,"(+/- 4467 )",152427,"(+/- 6525 )",167691,"(+/- 4918 )",180734,"(+/- 5787 )",160661,"(+/- 5301 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6370,"(+/- 2430 )",6981,"(+/- 2328 )",11173,"(+/- 2765 )",7345,"(+/- 2106 )",4432,"(+/- 1446 )",6259,"(+/- 1395 )",18101,"(+/- 3521 )",5677,"(+/- 1850 )",5606,"(+/- 2029 )",5875,"(+/- 1676 )",4055,"(+/- 1269 )",10220,"(+/- 3830 )",4143,"(+/- 1301 )",9840,"(+/- 2552 )",8042,"(+/- 2563 )",11276,"(+/- 2719 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.0,"(+/- 1.3 )",8.6,"(+/- 1.0 )",16.3,"(+/- 1.5 )",9.7,"(+/- 1.2 )",6.3,"(+/- 0.9 )",10.2,"(+/- 1.1 )",9.4,"(+/- 1.1 )",7.0,"(+/- 0.9 )",15.8,"(+/- 1.3 )",10.4,"(+/- 1.3 )",19.9,"(+/- 1.4 )",5.6,"(+/- 0.9 )",12.9,"(+/- 1.4 )",6.0,"(+/- 0.8 )",7.6,"(+/- 0.9 )",5.1,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",18.0,"(+/- 2.2 )",14.4,"(+/- 2.0 )",24.0,"(+/- 2.6 )",17.4,"(+/- 2.4 )",10.5,"(+/- 1.8 )",17.9,"(+/- 2.3 )",17.3,"(+/- 2.2 )",10.6,"(+/- 1.5 )",25.6,"(+/- 2.6 )",17.4,"(+/- 2.4 )",33.4,"(+/- 2.6 )",8.4,"(+/- 1.6 )",22.8,"(+/- 2.7 )",10.2,"(+/- 1.7 )",12.5,"(+/- 1.7 )",8.7,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",24.0,"(+/- 5.8 )",15.5,"(+/- 5.0 )",23.7,"(+/- 5.4 )",26.3,"(+/- 6.7 )",9.9,"(+/- 3.4 )",20.9,"(+/- 5.3 )",25.1,"(+/- 6.6 )",12.9,"(+/- 4.3 )",22.0,"(+/- 6.3 )",16.6,"(+/- 5.0 )",35.8,"(+/- 7.8 )",8.6,"(+/- 3.6 )",26.2,"(+/- 6.0 )",11.2,"(+/- 4.4 )",11.0,"(+/- 4.7 )",11.5,"(+/- 5.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.9,"(+/- 0.8 )",3.5,"(+/- 0.8 )",8.6,"(+/- 1.6 )",3.5,"(+/- 0.8 )",2.6,"(+/- 0.6 )",5.7,"(+/- 1.1 )",3.2,"(+/- 0.7 )",3.3,"(+/- 0.7 )",5.9,"(+/- 1.1 )",4.2,"(+/- 0.8 )",6.0,"(+/- 1.4 )",3.2,"(+/- 0.9 )",5.0,"(+/- 1.0 )",3.0,"(+/- 0.6 )",3.6,"(+/- 0.7 )",2.3,"(+/- 0.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.2,"(+/- 1.5 )",5.2,"(+/- 1.4 )",13.4,"(+/- 3.2 )",5.4,"(+/- 1.9 )",3.1,"(+/- 0.9 )",8.4,"(+/- 2.2 )",4.2,"(+/- 1.4 )",4.0,"(+/- 1.3 )",9.5,"(+/- 2.7 )",6.8,"(+/- 1.8 )",8.8,"(+/- 2.9 )",4.1,"(+/- 1.4 )",6.6,"(+/- 2.0 )",4.5,"(+/- 1.3 )",5.6,"(+/- 1.5 )",3.0,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.7,"(+/- 3.6 )",2.3,"(+/- 1.7 )",10.5,"(+/- 5.3 )",7.6,"(+/- 6.8 )",4.6,"(+/- 2.6 )",8.2,"(+/- 5.5 )",2.1,"(+/- 2.5 )",4.3,"(+/- 3.6 )",6.1,"(+/- 4.4 )",4.1,"(+/- 3.3 )",7.3,"(+/- 5.1 )",5.4,"(+/- 4.0 )",7.3,"(+/- 5.1 )",5.2,"(+/- 3.1 )",4.0,"(+/- 3.0 )",1.9,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no husband present",32.1,"(+/- 4.7 )",27.0,"(+/- 4.0 )",29.6,"(+/- 3.7 )",33.5,"(+/- 4.3 )",24.8,"(+/- 4.6 )",29.0,"(+/- 3.9 )",35.4,"(+/- 4.4 )",22.1,"(+/- 3.4 )",35.2,"(+/- 3.1 )",28.7,"(+/- 3.9 )",36.8,"(+/- 3.0 )",17.0,"(+/- 3.3 )",32.8,"(+/- 3.6 )",20.8,"(+/- 4.3 )",25.1,"(+/- 4.2 )",19.5,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",46.4,"(+/- 5.8 )",35.9,"(+/- 5.8 )",37.0,"(+/- 4.5 )",44.5,"(+/- 5.7 )",35.4,"(+/- 6.6 )",40.8,"(+/- 5.6 )",51.2,"(+/- 5.9 )",28.9,"(+/- 5.1 )",45.6,"(+/- 4.1 )",36.7,"(+/- 5.7 )",49.5,"(+/- 4.2 )",23.9,"(+/- 5.2 )",44.8,"(+/- 5.0 )",29.9,"(+/- 5.9 )",32.2,"(+/- 5.7 )",30.0,"(+/- 6.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",58.4,"(+/- 12.8 )",55.4,"(+/- 13.5 )",41.3,"(+/- 10.3 )",58.7,"(+/- 13.0 )",34.8,"(+/- 14.7 )",50.0,"(+/- 13.5 )",72.5,"(+/- 11.6 )",38.7,"(+/- 14.8 )",50.1,"(+/- 12.9 )",40.5,"(+/- 12.2 )",52.5,"(+/- 10.7 )",22.0,"(+/- 9.9 )",54.9,"(+/- 13.1 )",36.4,"(+/- 21.5 )",29.8,"(+/- 15.9 )",52.9,"(+/- 21.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",15.9,"(+/- 1.2 )",11.9,"(+/- 1.0 )",21.9,"(+/- 1.5 )",12.7,"(+/- 1.1 )",9.8,"(+/- 0.9 )",14.8,"(+/- 1.1 )",12.2,"(+/- 1.1 )",10.8,"(+/- 0.9 )",19.9,"(+/- 1.2 )",14.7,"(+/- 1.2 )",25.6,"(+/- 1.2 )",8.2,"(+/- 1.0 )",17.5,"(+/- 1.1 )",8.9,"(+/- 0.9 )",11.6,"(+/- 0.9 )",7.8,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",25.1,"(+/- 3.0 )",16.6,"(+/- 2.4 )",32.2,"(+/- 3.7 )",19.6,"(+/- 2.7 )",11.6,"(+/- 2.1 )",21.7,"(+/- 2.9 )",19.2,"(+/- 2.6 )",12.6,"(+/- 1.8 )",29.2,"(+/- 2.8 )",21.0,"(+/- 3.1 )",38.4,"(+/- 2.8 )",9.6,"(+/- 1.7 )",27.4,"(+/- 3.2 )",12.7,"(+/- 2.1 )",15.5,"(+/- 2.2 )",11.8,"(+/- 2.6 )"
